Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
Thomas Pritzker,business,Former Hyatt Hotels Executive Chairman who resigned Feb 2026 over Epstein ties; exchanged 20+ emails with Epstein through 2019; Virginia Giuffre alleged sex in Mexico; Epstein asked him to hire a girl from Romania.,Tom Pritzker,2,4583,4,Yes,American
Una Pascal,other,Bookkeeper for Epstein's properties including Zorro Ranch and a beneficiary named in Epstein's 2019 will.,,1,538,4,No,
Alexandra Dixon,associate,Individual listed,,0,53,3,No,
Anastasiya Siroochenko,associate,"Ukrainian art adviser who received $2.5M+ in ""gifts"" from Leon Black while Epstein coordinated the financial documentation. Former MC2 model, founder of Sublime Art LLC.",Anastasiya Siro; Anastasia Siroochenko,0,859,3,No,Ukrainian-American
Barbara Walters,celebrity,"Pioneering broadcast journalist (ABC News, 20/20, The View; deceased 2022). Listed in Epstein's black book with 3 phone numbers. Appeared on Peggy Siegal guest lists for Epstein-linked events 2011-2014. Maxwell reportedly boasted of their friendship to Virginia Giuffre.",,1,113,3,Yes,American
Ben Goertzel,academic,AGI researcher; received Epstein salary and OpenCog funding; proposed $3M 'robot toddler' project.,Benjamin Goertzel,0,1056,3,No,Brazilian-American
Brian Mathis,business,Private equity investor; named in Epstein flight logs.,,1,10,3,No,American
Brock Pierce,business,Tether co-founder with extensive documented Epstein contact (2010-2019),,0,2371,3,No,American
Carluz Toylo,associate,Long-time houseman and caretaker at Epstein's Palm Beach residence at 358 El Brillo Way. Named alongside his wife Arline as a $1 million beneficiary in Epstein's 1953 Trust.,,0,1550,3,No,
Charlie Rose,celebrity,"TV journalist (PBS/CBS, 1991-2017); 4 Epstein black book entries; flight logs; hired 3 Epstein-referred assistants (one later accused him of harassment); attended 2010 post-conviction Epstein dinner with Prince Andrew; Epstein tracked his #MeToo fallout; fired 2017 for sexual misconduct (35+ accusers)",Charles Rose,2,1033,3,Yes,American
Christine Kenneally,associate,Appeared on 14 flights with Epstein and Maxwell in the early 1990s.,Christine Kennelly; Christine Kennealy,14,1,3,No,American
Chuck Schumer,politician,Senate leader; championed Epstein transparency bill; on DOJ 305 list via news clippings.,Schumer; Charles Schumer,0,95,3,No,American
Clare Watts,associate,"Appeared on 17 Epstein flight manifests, likely cabin crew.",,17,131,3,No,
David Roth,associate,Contact of Jeffrey Epstein who corresponded directly with him and was identified as a friend of Stanley London.,Dave Roth,1,586,3,No,
David Stern,other,"Epstein's self-described ""soldier""; brokered Pentagon and FBI building investment pitches; aide to Prince Andrew; named 7,400+ times in EFTA documents.",Dave Stern,0,7765,3,No,
Edgar Bronfman Sr.,business,Former Chairman of Seagram Company.,Edgar Sr.; Edgar Bronfman,2,81,3,Yes,Canadian-American
Elon Musk,business,CEO of Tesla and SpaceX; 16+ emails with Epstein revealed in DOJ EFTA release.,,0,1546,3,No,South African-American
George Mitchell,politician,Former U.S. Senate Majority Leader; 6 Epstein flights (2000-2004); named by Giuffre in court filings; Mitchell confirmed Epstein funded his philanthropic projects and organized a fundraiser.,George John Mitchell Jr.,6,515,3,Yes,American
George Stephanopoulos,celebrity,ABC News anchor; attended Epstein's December 2010 post-conviction dinner for Prince Andrew; publicly called it a mistake.,,2,66,3,Yes,American
Harry Beller,business,HBRK Associates accountant; managed Epstein's COUQ Foundation; handled JP Morgan accounts and wire transfers.,,0,10474,3,No,
Heather Mann,socialite,South African model; dated Prince Andrew in the 1990s; appeared on 11 Epstein flight logs (1997–2001),Heather Man,11,3,3,No,South African
Henry Kissinger,politician,Former Secretary of State; 4 black book numbers; attended post-conviction Epstein dinners.,Henry Alfred Kissinger,1,244,3,Yes,American
Itzhak Perlman,celebrity,Virtuoso violinist and Juilliard faculty; 3 black book numbers; flew on Epstein's jet to Interlochen 1992 and 1993; Epstein tried to arrange 2014 mentoring session with a Juilliard student he was supporting financially; no allegations.,,3,72,3,Yes,Israeli-American
JEFFREY S. PAGLIUCA,associate,Denver defense attorney at Haddon Morgan and Foreman who was one of Ghislaine Maxwell's lead trial counsel.,PAGLIUCA; JEFFREY PAGLIUCA; Jeff S. PAGLIUCA,0,610,3,No,
Jack Scarola,legal,West Palm Beach victims' rights attorney; central figure in challenging the 2008 Epstein non-prosecution agreement on behalf of trafficking survivors.,John Scarola,0,1459,3,No,American
Jose Maria Aznar,politician,Former Prime Minister of Spain (1996-2004); listed in Epstein's black book with NYC office at 8&8 Capital. His son-in-law Alejandro Agag (Formula E founder) also listed.,Jose Maria Aznar Lopez; Aznar; Jose Aznar,2,10,3,Yes,Spanish
Julie K. Brown,other,Miami Herald journalist whose reporting led to Epstein's 2019 arrest.,Brown; Julie Brown,0,137,3,No,American
Juror Number 50,associate,juror who gave press interviews after the verdict.,Juror 50,0,207,3,No,
Katie Couric,celebrity,"TV journalist; 1 Epstein flight (Feb 2000, with Maxwell & Kellen); 3 black book numbers; 2010 post-conviction dinner; direct Epstein email 2012; wrote 'creepy' in memoir Going There.",,1,305,3,Yes,American
Les Moonves,business,Former CBS Chairman & CEO (2003-2018); listed in Epstein's black book with 4 phone numbers; connected through Michael Wolff emails and Hollywood social circles.,Leslie Roy Moonves; Leslie Moonves,2,30,3,Yes,American
Lester Pollack,business,Centre Partners Managing Director; Limited board member with Wexner; Epstein black book entry.,,1,56,3,Yes,American
Martin Nowak,academic,"Harvard mathematics and biology professor; PED received .5M from Epstein; 4,000+ DOJ file mentions; placed on leave Feb 2026.",,0,10385,3,No,Austrian-American
Michael Bloomberg,politician,"Former NYC Mayor and Bloomberg LP founder; appears in Epstein black book; documented on one flight; Epstein referenced him as ""a long-time supporter"" and invited him to events.",Mike Bloomberg,1,2061,3,Yes,American
Michael Ovitz,business,Co-founder of CAA; former Disney president; flew on Epstein aircraft; email correspondence in EFTA releases.,Michael Steven Ovitz; Mike Ovitz,2,218,3,Yes,American
Nicholas Ribis,business,Trump casino CEO 1990s; Epstein introduced him to JPMorgan as banking client; planned meetings 2011-2017.,Nick Ribis,0,2022,3,No,
Peggy Siegal,socialite,NYC film publicist who received $913K+ from Epstein entities while rehabilitating his social standing post-conviction; studios severed ties in 2019; Kenya baby email drew attention in 2026.,Margaret Siegal,1,9819,3,Yes,American
ROBERT GLASSMAN,associate,Plaintiff's attorney at Panish Shea and Boyle representing Epstein victim Jane in civil proceedings against Ghislaine Maxwell.,Bob GLASSMAN; Rob GLASSMAN,0,626,3,No,
Reid Hoffman,business,"LinkedIn co-founder; hosted 2015 dinner with Epstein, Musk, Zuckerberg; visited island.",,0,3448,3,No,American
Ronald Perelman,business,Chairman of MacAndrews & Forbes.,Ron Perelman,2,149,3,Yes,American
Sandy Weill,business,Former Chairman and CEO of Citigroup.,Sanford I. Weill,1,49,3,Yes,American
Sigrid McCawley,legal,Boies Schiller Flexner partner; lead counsel for Virginia Giuffre against Ghislaine Maxwell; key figure in the effort to unseal Epstein court records.,,0,798,3,No,American
Soon-Yi Previn,other,"Wife of Woody Allen; appeared on 8+ Epstein flight manifests (2010-2014) and traveled with Epstein to Paris, New Mexico, Palm Beach, and elsewhere; no allegations of wrongdoing.",Mrs Allen; Mrs Allen (Soon Yi Previn); Soon Yi Previn,9,2723,3,No,American
Steven Sinofsky,business,Former Microsoft Windows president who sought Epstein's advice on exit terms.,Steve Sinofsky,0,1955,3,No,American
Stroe Andra Maria,associate,Romanian model and socialite; appeared in Epstein correspondence.,Maria; Stroe Maria,1,535,3,No,Romanian
Tatyana Simanava,associate,Appeared on 2 Epstein flights in 2006; no public information available.,,2,5,3,No,
Terje Roed-Larsen,politician,"Norwegian diplomat, Oslo Accords architect, and IPI president; resigned October 2019 after $650K in Epstein donations to IPI and a $130K personal loan from Epstein were publicly disclosed.",Terje Roed; Terje Larsen,2,281,3,Yes,Norwegian
Tim Zagat,business,Zagat Survey co-founder who flew on Epstein's jet in 2002 and continued dining with him years after his 2008 conviction.,,1,2983,3,No,American
Todd Meister,business,"Hedge fund manager whose father introduced Epstein to Les Wexner; introduced Steve Tisch to Epstein; 245+ documents, black book entry with 10 numbers.",Todd Andrew Meister,0,906,3,Yes,American
Woody Allen,celebrity,Filmmaker; neighbor and frequent dinner companion of Epstein 2010-2019; co-orchestrated White House visit (Dec 2015); wrote Epstein's 63rd birthday letter; Epstein helped daughter Bechet gain Bard College admission; exchanged iMessages with Epstein through June 2019.,Allen Stewart Konigsberg,9,8908,3,Yes,American
amy lynn,associate,Myspace contact,,1,109,3,No,
Al Catto,associate,Appeared on 12 flights with Epstein in 1994. No additional documentation found beyond flight logs.,Albert Catto; Alan Catto,12,0,2,No,American
Al Seckel,associate,Illusionist who co-organized Epstein's island conference; married to Isabel Maxwell.,Alan Seckel,0,1723,2,No,American
Amir Elichai,business,"CEO of Carbyne (formerly Reporty), the Israeli emergency tech startup co-founded by Ehud Barak with Epstein investment.",,0,57,2,No,Israeli
Anil Ambani,business,Indian billionaire who served as intermediary between PM Modi and Epstein.,Anil Dhirubhai Ambani,0,114,2,No,Indian
Barnaby Marsh,other,"Philanthropy strategist and Templeton Foundation executive who attended two dozen Epstein salon dinners (2013-2017); introduced Deepak Chopra to Epstein; mentioned 4,600+ times in the files.",,0,3228,2,No,
Barry Josephson,celebrity,"Hollywood producer (Bones, Enchanted); DOJ emails show loans, crude exchanges with Epstein; public apology issued Feb 2026.",Barry & Jackie Josephson,0,1928,2,Yes,American
Ben Shapiro,celebrity,Daily Wire founder; on DOJ's February 2026 305-name list via media clippings; critic of Epstein conspiracy theories.,Shapiro; Benjamin Shapiro,0,39,2,No,American
Bob Gold,legal,Former federal prosecutor; worked with Epstein in 1980s; 6 flights 1993-1994; in black book,,6,83,2,Yes,American
Caroline Lang,associate,"French film producer and daughter of Jack Lang; co-owned offshore company Prytanee LLC with Epstein, named in his will for $5 million.",,0,1573,2,No,French
Chris Wagner,associate,Listed in Epstein's aircraft phone billing records; likely a flight operations contact or supervisor associated with Epstein's air travel network. Also cited as Pilot-in-Command in related flight documents.,Christopher Wagner,8,1563,2,No,
Christine Maxwell,socialite,"Ghislaine Maxwell's sister and internet pioneer who co-founded Chiliad, an intelligence-linked data mining firm.",,1,1540,2,Yes,British-French
David Blaine,celebrity,"American magician listed in Epstein's black book with 5 phone numbers. EFTA correspondence (2012-2016) documents travel on Epstein's aircraft, dinners at Epstein's Manhattan residence with Woody Allen, and magic performances at Epstein-hosted gatherings. DOJ files released in 2026 added references to a ""French girl"" visiting and a planned magic night for Woody Allen's 80th birthday. Blaine appears in estate photos released by House Democrats in December 2025.",David Blaine White; Dave Blaine,2,1925,2,Yes,American
David Oscar Markus,associate,Additional counsel for Ghislaine Maxwell.,Markus; David Markus; Dave Oscar Markus,0,120,2,No,
Ellen Brockman,associate,Attorney,,0,32,2,No,
Francis Jardine-Deuss,associate,Epstein girlfriend 1990s; 12+ flight log entries; White House visitor logs.,Francis Jardine Deuss; Francis Jardine; Francis Deuss,8,179,2,Yes,South African
George Church,academic,Harvard geneticist who received Epstein funding.,,0,2977,2,No,American
Greg Wyler,other,"Founder of OneWeb satellite network; Epstein acted as informal fundraising adviser during OneWeb's 2012-2014 formation, with shared jet rides and extensive email correspondence documented in EFTA files.",Gregory Wyler,0,1547,2,No,
Harry Fisch,academic,"American urologist, professor emeritus at Weill Cornell Medicine, and co-founder of Veru Pharma. Served as Jeffrey Epstein's personal physician and maintained a medical relationship with Epstein over multiple years. Fisch appears in Epstein's address records and correspondence, and his role as Epstein's doctor was referenced in legal proceedings following Epstein's 2019 arrest. He is a published author on male reproductive health and ran a private urology practice in New York City.",,0,478,2,No,
Henry Rosovsky,academic,Former Harvard dean on Epstein Foundation advisory board.,,1,369,2,No,American
Itamar Arel,academic,UT professor; developed Epstein-funded facial recognition tech; co-proposed 'robot toddler' project.,,0,98,2,No,Israeli-American
John Glenn,politician,"U.S. Senator and first American to orbit Earth; one documented Epstein flight (Sep 8, 1996) with Epstein and Dershowitz to Ohio; Epstein donated ,000 to his Senate campaign (1992); no wrongdoing alleged; deceased 2016.",John Herschel Glenn Jr.; Jack Glenn,1,638,2,No,American
Johnny El Hachem,business,CEO of Edmond de Rothschild Private Equity who discussed infrastructure fund opportunities with Epstein.,Johnny El Hachem Po; Hachem; Johnny Hachem,1,92,2,No,Lebanese-French
Kenneth Lipper,business,"Former NYC Deputy Mayor; flew on Epstein's plane, Harvard philanthropy ties.",Ken Lipper,2,11,2,No,American
Kevin Maxwell,socialite,Ghislaine Maxwell's brother; acquitted of Mirror Group pension fraud 1996; listed in Epstein black book.,,2,1546,2,Yes,British
Lady Robin Innes-Ker,associate,British aristocrat; flew with Ghislaine and Kevin Maxwell on Epstein's jet.,Lady Robin Innes Ker; Katherine Innes-Ker; Innes-Ker; Robin Innes-Ker; Lady Robin Innes; Lady Robin Ker,2,0,2,No,British
Lisa Marie Rocchio,associate,"Expert witness or consultant in a court case, clinical psychologist.",Rocchio; Lisa Rocchio,0,8,2,No,
Lisa Randall,academic,Harvard physicist who attended science conference on Epstein island.,,0,1360,2,No,American
MICHAEL THOMAS,associate,Defendant,Michael Thomas (MCC); Mike THOMAS,0,290,2,No,
Mark Lloyd,associate,British consultant in Epstein's black book; emails show active business ties through 2016.,Mark William Lloyd,0,3168,2,Yes,American
